id,userId,courseId,purchaseId,createdAt,updatedAt
dc60a232-381f-4921-a53b-605baf1952f1,cd1d2b49-ce2f-4c3f-a90a-5e03975c7fa8,be766134-111b-4a83-afdd-d6c54596d486,64c2ea14-c22f-474e-8548-0ad8b05d9c6b,2024-08-08 01:39:35.425+00,2024-08-08 01:39:35.425+00
77228344-6f6e-49c2-bdb8-a03e861067a4,cd1d2b49-ce2f-4c3f-a90a-5e03975c7fa8,880369a6-6b14-4a6b-b3cb-4aaabc33369a,64c2ea14-c22f-474e-8548-0ad8b05d9c6b,2024-08-08 01:39:35.435+00,2024-08-08 01:39:35.435+00
79766876-db9c-4cda-a2fe-8d5495fbd38a,cd1d2b49-ce2f-4c3f-a90a-5e03975c7fa8,3857b311-0df8-462f-a042-6a560f3528eb,64c2ea14-c22f-474e-8548-0ad8b05d9c6b,2024-08-08 01:39:35.443+00,2024-08-08 01:39:35.443+00
5de26c7b-4d1a-4d74-b8d6-cd421c34ef5a,7bb4b950-9ffd-408a-8d9a-4688db975605,21a45a4f-052d-4bfc-920e-adcda1cfe19c,005daca5-744f-4070-a765-3cd424a7a8c7,2024-08-08 01:39:48.277+00,2024-08-08 01:39:48.277+00
159ae7cc-d5ea-4b7c-9815-ef68b5129a40,7bb4b950-9ffd-408a-8d9a-4688db975605,3b3a5d08-696f-42a3-856d-09992761a09e,005daca5-744f-4070-a765-3cd424a7a8c7,2024-08-08 01:39:48.284+00,2024-08-08 01:39:48.284+00
d2c53542-569a-4138-b453-9b97068197fb,7bb4b950-9ffd-408a-8d9a-4688db975605,be766134-111b-4a83-afdd-d6c54596d486,005daca5-744f-4070-a765-3cd424a7a8c7,2024-08-08 01:39:48.303+00,2024-08-08 01:39:48.303+00
82bea708-c5f9-4412-a613-f0ee36f74177,7bb4b950-9ffd-408a-8d9a-4688db975605,880369a6-6b14-4a6b-b3cb-4aaabc33369a,005daca5-744f-4070-a765-3cd424a7a8c7,2024-08-08 01:39:48.315+00,2024-08-08 01:39:48.315+00
b6e18b79-359c-4479-954f-0e642a7b601f,7bb4b950-9ffd-408a-8d9a-4688db975605,f5fb2002-9ed8-4520-99ef-46df7e453375,005daca5-744f-4070-a765-3cd424a7a8c7,2024-08-08 01:39:48.328+00,2024-08-08 01:39:48.328+00
16e891f6-03d6-40db-b0e3-da8c1ac2b292,04581eab-af6f-4cf9-aca4-da563b103e31,3b3a5d08-696f-42a3-856d-09992761a09e,9cb7866c-a46f-43eb-8204-3f825aef4df5,2024-08-08 01:40:02.86+00,2024-08-08 01:40:02.86+00
700aea55-3667-4cbd-836c-33754e31e133,04581eab-af6f-4cf9-aca4-da563b103e31,21a45a4f-052d-4bfc-920e-adcda1cfe19c,9cb7866c-a46f-43eb-8204-3f825aef4df5,2024-08-08 01:40:02.868+00,2024-08-08 01:40:02.868+00
02162680-fc81-4267-be69-35e918b5d984,04581eab-af6f-4cf9-aca4-da563b103e31,57e069f8-7059-4d2f-83d6-3f16f7aa0938,9cb7866c-a46f-43eb-8204-3f825aef4df5,2024-08-08 01:40:02.876+00,2024-08-08 01:40:02.876+00
270518ae-e6c9-47b8-a794-ddd89cd9f9a6,04581eab-af6f-4cf9-aca4-da563b103e31,880369a6-6b14-4a6b-b3cb-4aaabc33369a,9cb7866c-a46f-43eb-8204-3f825aef4df5,2024-08-08 01:40:02.887+00,2024-08-08 01:40:02.887+00
f6802325-8d05-4a42-add4-3608c4978ec5,04581eab-af6f-4cf9-aca4-da563b103e31,f5fb2002-9ed8-4520-99ef-46df7e453375,9cb7866c-a46f-43eb-8204-3f825aef4df5,2024-08-08 01:40:02.899+00,2024-08-08 01:40:02.899+00
1deb34d1-1aae-43b3-91ad-1cb9c3235d95,e1663103-8278-4b7c-a019-94a5ebfa4541,3b3a5d08-696f-42a3-856d-09992761a09e,5533e39f-d38b-4448-bf86-17203fda8432,2024-08-08 01:40:13.788+00,2024-08-08 01:40:13.788+00
bf609774-e726-4b80-98e2-9fd6d190c31c,e1663103-8278-4b7c-a019-94a5ebfa4541,21a45a4f-052d-4bfc-920e-adcda1cfe19c,5533e39f-d38b-4448-bf86-17203fda8432,2024-08-08 01:40:13.795+00,2024-08-08 01:40:13.795+00
