id,isPaid,createdAt,updatedAt,buyOrder,userId,coursesIds
7f033b0d-1a0a-4d6b-93fa-e50689cdb64b,t,2024-08-08 01:37:38.356+00,2024-08-08 01:40:58.054+00,bde3cd1fc32301f00092b5bd85,eb00f415-9629-436a-9c5d-2e55e7f7eb7b,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a,f5fb2002-9ed8-4520-99ef-46df7e453375}"
c620bf7d-2d68-4207-8219-924fb553f31c,t,2024-08-08 01:39:25.824+00,2024-08-08 01:41:09.759+00,e621046354b8f52c538e13c2fb,39f1af96-755e-4909-8e1a-f5f413a8a89b,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
f08326cf-dc53-47b1-9c2b-87cd2f3a08da,t,2024-08-08 01:39:41.44+00,2024-08-08 01:41:21.814+00,d7247d891d4b5e812d98551957,c71e850c-b566-4424-9296-cd1fe2aa3228,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
e109c88d-2f5e-42af-9d2b-eca986d74006,t,2024-08-08 01:37:53.177+00,2024-08-08 01:41:34.888+00,0a0b02392a9d3e18dac5437cef,bacb136b-0756-4137-b0f4-db7cc2d508f3,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
14a15b04-5712-484e-be96-dd9a26a8ac70,t,2024-08-08 01:40:09.31+00,2024-08-08 01:41:40.921+00,c706beee4d0afc52d8d9ca9628,127c8efd-ac18-438a-9343-258a9303244a,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
bac425da-3de4-4e5d-87a4-59c141969c8d,t,2024-08-08 01:40:01.218+00,2024-08-08 01:41:56.101+00,894bd1c122c0e47b703f172a94,dd008484-e542-4407-beb7-5ed67d8d3709,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,caa12af6-8d12-42e6-985d-82190eb650ec,f5fb2002-9ed8-4520-99ef-46df7e453375}"
4fc8816f-4696-40ef-ba97-c9b0b277d4ed,t,2024-08-08 01:39:27.205+00,2024-08-08 01:42:09.568+00,edeea9c783ef169d3ff1d33fb6,d0994fb0-2cba-40c8-aef7-2abe81f56083,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
9983f4d0-f444-49eb-8ac5-90d3d7e4f1bc,t,2024-08-08 01:38:20.768+00,2024-08-08 01:42:17.231+00,a463c7d6a82fd5e3cefb426001,2d752017-05b2-4ff8-a308-576b3e25e592,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
e2c2f6ac-333a-4ea2-b12c-962ada82f0f1,t,2024-08-08 01:40:57.688+00,2024-08-08 01:42:18.607+00,dcb2b5532ef6b0012330a19d81,3eabb632-8398-43e2-b043-124d9dbfc1e9,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
fc9ba201-fd64-4300-8667-3ee3c4470b21,t,2024-08-08 01:41:07.059+00,2024-08-08 01:42:41.146+00,0bc6d2f4570f652dd20e359cd7,29d77568-5fb1-414f-a749-54bef7c37f8a,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
